x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.632058	-10.907708	1.003396	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.182409	-12.640357	-1.125277	-0.338368	-11.498364	3.337817	-3.941085	-8.827099	-2.308844	-0.097045	-7.685107	2.154250	-2.651530	-13.109251	-2.323838	1.192511	-11.967258	2.139256	-2.410206	-9.295993	-3.507404	1.433834	-8.154001	0.955689
0.029774	-9.275590	0.435448	0.000000	0.000000	0.000000	0.930404	-0.130649	0.333176	-0.079207	0.000000	0.000000	0.000000	-4.490159	-12.149866	0.770662	0.933219	-10.768598	2.933775	-4.527474	-8.736937	-1.315128	0.895905	-7.355668	0.847985	-3.634860	-13.085809	-0.776101	1.788519	-11.704540	1.387013	-3.672175	-9.672880	-2.861891	1.751204	-8.291611	-0.698777
0.190863	-9.256175	-0.331418	0.006561	-0.005491	-0.061434	0.812619	-0.231246	0.516010	-0.141100	-0.037077	-0.004473	0.001296	-4.700228	-11.621219	0.731828	0.839226	-10.476433	2.732806	-4.413594	-8.552216	-1.817498	1.125860	-7.407430	0.183480	-3.945275	-12.845837	-0.657545	1.594179	-11.701052	1.343433	-3.658641	-9.776834	-3.206870	1.880813	-8.632049	-1.205892
0.235553	-9.379341	-0.721462	-0.010677	-0.029130	-0.144132	0.787119	-0.263025	0.513877	-0.217238	-0.231167	-0.081864	-0.106073	-4.812211	-11.009561	0.820139	0.835611	-10.087391	2.623389	-4.290478	-8.387254	-2.154974	1.357344	-7.465084	-0.351724	-4.189525	-12.488205	-0.373961	1.458297	-11.566035	1.429289	-3.667791	-9.865898	-3.349074	1.980031	-8.943728	-1.545824
0.281970	-9.460186	-0.954333	-0.034098	-0.043625	-0.214738	0.752905	-0.298004	0.510806	-0.288800	-0.650914	-0.125110	-0.294208	-4.787163	-10.510592	0.827495	0.907458	-9.668536	2.519308	-4.108102	-8.406102	-2.505671	1.586519	-7.564046	-0.813858	-4.256570	-12.188089	-0.123544	1.438051	-11.346033	1.568270	-3.577509	-10.083599	-3.456710	2.117112	-9.241543	-1.764897
0.391044	-9.558805	-1.116799	0.000270	-0.085867	-0.278224	0.719963	-0.338085	0.494686	-0.350196	-1.337683	-0.174938	-0.360234	-4.877189	-10.009896	0.815662	0.831841	-9.296313	2.517949	-4.014089	-8.412555	-2.748543	1.694941	-7.698972	-1.046256	-4.438648	-11.828013	0.107047	1.270381	-11.114430	1.809334	-3.575548	-10.230671	-3.457158	2.133482	-9.517088	-1.754871
0.380814	-9.640290	-1.112238	-0.066047	-0.108168	-0.222387	0.689623	-0.366135	0.473379	-0.407771	-2.083223	-0.241272	-0.675933	-4.897739	-9.624002	0.651253	0.796680	-8.808456	2.356677	-3.912155	-8.655864	-3.102589	1.782265	-7.840318	-1.397165	-4.505030	-11.545401	0.258820	1.189390	-10.729855	1.964244	-3.519445	-10.577263	-3.495022	2.174974	-9.761717	-1.789598
0.406796	-9.727288	-1.179385	-0.075154	-0.173942	-0.264516	0.656244	-0.409293	0.436303	-0.459850	-3.125098	-0.393350	-0.673556	-4.875449	-9.032845	0.281187	0.776498	-8.438412	2.205283	-3.618636	-8.730166	-3.504154	2.033311	-8.135733	-1.580059	-4.639405	-11.017243	0.200884	1.012542	-10.422810	2.124980	-3.382593	-10.714564	-3.584457	2.269354	-10.120131	-1.660362
0.483153	-9.848309	-1.174974	-0.021411	-0.238508	-0.224488	0.615300	-0.424756	0.399051	-0.530799	-4.006664	-0.788087	-1.300393	-4.758263	-8.424963	0.061917	0.933668	-8.043714	1.921104	-3.497234	-8.864875	-3.708532	2.194696	-8.483627	-1.849345	-4.706629	-10.408764	0.310643	0.985301	-10.027516	2.169830	-3.445601	-10.848677	-3.459806	2.246329	-10.467428	-1.600618
0.495181	-9.956812	-1.184985	-0.050834	-0.330637	-0.161525	0.553557	-0.454404	0.372270	-0.590344	-5.084981	-0.624564	-1.890604	-4.528041	-7.839857	-0.296133	1.170971	-7.744085	1.577924	-3.311462	-8.959102	-3.938554	2.387550	-8.863330	-2.064497	-4.673765	-9.759702	0.245126	1.025247	-9.663930	2.119183	-3.457186	-10.878947	-3.397295	2.241826	-10.783175	-1.523238
0.549359	-10.047345	-1.216462	0.055894	-0.408165	-0.183360	0.489814	-0.472918	0.346665	-0.645178	-5.943557	-0.593251	-2.511019	-4.241204	-7.331334	-0.935325	1.415398	-7.355128	1.065247	-3.089486	-9.309992	-4.215334	2.567116	-9.333786	-2.214762	-4.577579	-9.069484	-0.004902	1.079023	-9.093278	1.995670	-3.425860	-11.048142	-3.284911	2.230742	-11.071936	-1.284339
0.612755	-10.136785	-1.197086	0.206003	-0.477642	-0.102113	0.409444	-0.498259	0.291588	-0.706449	-7.305934	-0.760563	-3.020839	-3.895591	-6.895085	-1.566541	1.687009	-7.183042	0.613290	-2.926069	-9.546977	-4.399825	2.656530	-9.834933	-2.219994	-4.445302	-8.389291	-0.356102	1.137297	-8.677248	1.823729	-3.475781	-11.041183	-3.189386	2.106819	-11.329140	-1.009555
0.606216	-10.220626	-1.148801	0.159464	-0.582935	0.072095	0.326143	-0.506165	0.249288	-0.758474	-8.308180	-0.883199	-3.632326	-3.502472	-6.598125	-2.186730	1.962886	-7.131466	0.230999	-2.768230	-9.747305	-4.541205	2.697128	-10.280646	-2.123477	-4.241605	-7.818396	-0.785081	1.223752	-8.351737	1.632648	-3.507363	-10.967576	-3.139556	1.957995	-11.500917	-0.721827
0.592878	-10.275219	-1.088053	0.110624	-0.643512	0.283683	0.248039	-0.503680	0.211729	-0.799971	-9.060287	-1.001323	-4.078246	-3.006711	-6.572661	-2.935277	2.303991	-7.194940	-0.213291	-2.566232	-10.174609	-4.618117	2.744470	-10.796888	-1.896131	-3.911015	-7.417331	-1.364046	1.399687	-8.039610	1.357940	-3.470536	-11.019279	-3.046886	1.840166	-11.641558	-0.324900
0.628447	-10.374333	-0.977494	0.257584	-0.870142	0.660505	0.158922	-0.498666	0.156525	-0.837601	-10.051412	-1.046599	-4.364693	-2.457127	-6.624556	-3.536711	2.633788	-7.401815	-0.458001	-2.371005	-10.465859	-4.648904	2.719910	-11.243118	-1.570195	-3.514687	-7.118492	-1.912643	1.576229	-7.895750	1.166066	-3.428565	-10.959795	-3.024837	1.662350	-11.737053	0.053873
0.632481	-10.458929	-0.843773	0.298718	-1.089029	1.151812	0.077480	-0.479173	0.117618	-0.866346	-10.685169	-0.958948	-4.634888	-2.064675	-6.945994	-4.133913	2.875986	-7.581890	-0.789439	-2.290520	-10.917313	-4.555360	2.650141	-11.553209	-1.210886	-3.193839	-7.056569	-2.486867	1.746822	-7.692464	0.857607	-3.419684	-11.027888	-2.908314	1.520977	-11.663783	0.436161
0.624564	-10.484336	-0.706358	0.273823	-1.093706	1.635111	-0.000333	-0.466593	0.059875	-0.882443	-11.432339	-0.709384	-4.682152	-1.687528	-7.379997	-4.626965	3.078188	-7.870553	-1.014860	-2.262468	-11.332242	-4.405155	2.503248	-11.822798	-0.793049	-2.868121	-7.118844	-3.033855	1.897595	-7.609400	0.578250	-3.443061	-11.071090	-2.812045	1.322655	-11.561646	0.800060
0.570109	-10.516234	-0.556696	0.049399	-1.141045	2.176349	-0.076908	-0.446023	0.007376	-0.891680	-12.023517	-0.288771	-4.808120	-1.299847	-7.830396	-4.972474	3.268931	-8.203655	-1.101177	-2.255620	-11.639306	-4.211747	2.313159	-12.012564	-0.340449	-2.504970	-7.232423	-3.492573	2.063808	-7.605682	0.378724	-3.460743	-11.041333	-2.731845	1.108036	-11.414591	1.139452
0.506065	-10.518543	-0.388530	-0.195734	-1.064640	2.795273	-0.150356	-0.419658	-0.035769	-0.894428	-12.408859	0.282514	-5.040165	-0.893986	-8.422469	-5.221634	3.488746	-8.563735	-1.126307	-2.177855	-11.998449	-3.971016	2.204877	-12.139715	0.124311	-2.099664	-7.527553	-3.900473	2.283068	-7.668820	0.194854	-3.383533	-11.103533	-2.649855	0.999199	-11.244800	1.445472
0.525903	-10.539217	-0.221304	-0.025099	-1.098959	3.388977	-0.215476	-0.390065	-0.081070	-0.891542	-12.633204	0.950302	-5.345004	-0.672038	-8.956408	-5.336333	3.605925	-8.877638	-1.130049	-2.244351	-12.238230	-3.675768	2.033612	-12.159460	0.530516	-1.833294	-7.813288	-4.176695	2.444668	-7.734518	0.029590	-3.405608	-11.095110	-2.516130	0.872355	-11.016340	1.690154
0.486257	-10.501357	-0.066467	-0.166920	-0.858272	3.915243	-0.273845	-0.367008	-0.121579	-0.880643	-12.634153	1.650954	-5.685694	-0.536311	-9.403246	-5.354418	3.674724	-9.101723	-1.091055	-2.301722	-12.412429	-3.397854	1.909314	-12.110906	0.865510	-1.654577	-8.089434	-4.342796	2.556458	-7.787910	-0.079433	-3.419987	-11.098616	-2.386232	0.791048	-10.797093	1.877131
0.459208	-10.448632	0.069244	-0.259231	-0.566453	4.357955	-0.315884	-0.347348	-0.155142	-0.869193	-12.347763	2.232330	-5.998936	-0.466018	-9.752292	-5.282217	3.728478	-9.288152	-1.017152	-2.381620	-12.502581	-3.099013	1.812875	-12.038441	1.166052	-1.527974	-8.308325	-4.394969	2.666522	-7.844185	-0.129904	-3.443576	-11.058614	-2.211766	0.750919	-10.594474	2.053299
0.446685	-10.383928	0.219420	-0.301773	-0.214293	4.852469	-0.350818	-0.333823	-0.182045	-0.855774	-11.888315	2.692464	-6.268425	-0.478502	-10.301284	-5.170061	3.747802	-9.591674	-0.970678	-2.554147	-12.649250	-2.684351	1.672157	-11.939640	1.515031	-1.447159	-8.699468	-4.465868	2.779144	-7.989858	-0.266485	-3.522804	-11.047434	-1.980158	0.703499	-10.337824	2.219225
0.407999	-10.328689	0.371903	-0.433240	0.049164	5.301883	-0.396414	-0.317319	-0.222171	-0.832349	-11.533684	3.201595	-6.818522	-0.468612	-10.663227	-5.033981	3.769789	-9.797350	-0.876311	-2.637635	-12.738758	-2.390591	1.600766	-11.872881	1.767079	-1.378464	-8.978075	-4.457412	2.859937	-8.112198	-0.299742	-3.547487	-11.053606	-1.814022	0.690914	-10.187729	2.343648
0.401032	-10.306604	0.499241	-0.428650	0.162224	5.643916	-0.424010	-0.304554	-0.246525	-0.816510	-10.941477	3.484252	-7.143118	-0.517732	-10.990613	-4.833841	3.778959	-9.965156	-0.773437	-2.757451	-12.743398	-2.021119	1.539240	-11.717942	2.039285	-1.351177	-9.225649	-4.397637	2.945514	-8.200193	-0.337233	-3.590896	-10.978435	-1.584915	0.705795	-9.952978	2.475489
