x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.199364	-12.652903	1.570732	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.109929	-15.032440	-0.247905	-0.828850	-11.673839	4.169841	-3.089207	-11.853384	-2.675490	-0.808128	-8.494782	1.742255	-1.260133	-15.501529	-0.846412	1.020946	-12.142927	3.571334	-1.239410	-12.322472	-3.273997	1.041668	-8.963870	1.143749
0.003769	-10.481013	0.795835	0.000000	0.000000	0.000000	0.929510	-0.313785	0.182740	-0.064476	0.000000	0.000000	0.000000	-3.162614	-15.341390	0.685610	-0.763067	-10.937192	3.978817	-3.417294	-12.862809	-2.443572	-1.017746	-8.458611	0.849635	-1.333947	-15.897215	0.096516	1.065601	-11.493017	3.389723	-1.588626	-13.418635	-3.032666	0.810922	-9.014437	0.260541
-0.182462	-10.596175	0.366808	-0.003391	-0.019311	-0.037013	0.877902	-0.431805	0.197765	-0.061010	-0.052887	-0.060330	0.059364	-3.035208	-15.531425	0.230150	-0.919691	-11.116834	3.699440	-3.083548	-13.045724	-2.903371	-0.968031	-8.631133	0.565919	-1.163805	-16.069868	-0.225846	0.951712	-11.655277	3.243444	-1.212145	-13.584166	-3.359366	0.903372	-9.169575	0.109924
-0.081273	-10.760038	0.139980	0.029604	-0.065463	-0.100491	0.885345	-0.428970	0.163943	-0.072609	-0.078157	-0.236163	0.172742	-3.183943	-15.547581	0.257140	-1.182873	-10.982634	3.597345	-2.977668	-13.247969	-3.009240	-0.976598	-8.683022	0.330966	-1.301274	-16.149686	-0.047864	0.699796	-11.584738	3.292341	-1.094999	-13.850074	-3.314244	0.906071	-9.285126	0.025962
-0.116432	-10.850740	0.083756	0.011214	-0.106412	-0.123634	0.876490	-0.449925	0.138625	-0.100578	-0.276528	-0.454709	0.188223	-3.040257	-15.652123	0.295865	-1.319113	-10.884179	3.505908	-2.704977	-13.510059	-3.065556	-0.983833	-8.742115	0.144487	-1.131659	-16.223936	0.121848	0.589486	-11.455992	3.331891	-0.796379	-14.081872	-3.239573	0.924766	-9.313928	-0.029530
-0.066490	-10.898477	0.051819	0.075389	-0.158057	-0.141379	0.869601	-0.470047	0.107482	-0.106292	-0.581543	-0.746280	0.492167	-2.781105	-15.868158	0.196351	-1.563393	-10.971788	3.443309	-2.350866	-13.745208	-3.166383	-1.133154	-8.848838	0.080575	-0.834578	-16.325809	0.156473	0.383134	-11.429439	3.403431	-0.404340	-14.202858	-3.206261	0.813372	-9.306488	0.040697
-0.085247	-10.946906	0.079611	0.112825	-0.242982	-0.142975	0.872519	-0.474701	0.063864	-0.096383	-0.686816	-1.196658	1.000076	-2.365857	-16.079600	0.138616	-1.724786	-11.089095	3.407239	-1.960381	-13.935843	-3.213979	-1.319310	-8.945338	0.054644	-0.387667	-16.369150	0.192719	0.253404	-11.378645	3.461341	0.017809	-14.225393	-3.159877	0.658880	-9.234888	0.108746
-0.097304	-10.946066	0.116214	0.181363	-0.289356	-0.122738	0.876043	-0.476546	0.022771	-0.070243	-0.716248	-1.558798	1.695768	-2.038260	-16.264480	0.178689	-1.826463	-11.203968	3.395266	-1.621533	-14.142872	-3.186592	-1.409736	-9.082360	0.029984	-0.050397	-16.435579	0.316981	0.161400	-11.375068	3.533558	0.366330	-14.313971	-3.048300	0.578127	-9.253459	0.168276
-0.075970	-11.006215	0.170880	0.259233	-0.422492	-0.037843	0.874704	-0.481517	-0.009674	-0.054227	-0.849255	-1.782588	2.191020	-1.792269	-16.378324	0.156927	-2.166414	-11.240636	3.233318	-1.066672	-14.318729	-3.194428	-1.440817	-9.181041	-0.118037	0.170592	-16.459851	0.531800	-0.203553	-11.322164	3.608191	0.896189	-14.400257	-2.819555	0.522044	-9.262569	0.256836
-0.056534	-11.041508	0.231859	0.294928	-0.488094	0.054513	0.867332	-0.488313	-0.072001	-0.064036	-1.176753	-2.613516	2.490172	-1.492035	-16.476003	0.295299	-2.580919	-11.208406	2.953636	-0.384599	-14.564293	-3.039210	-1.473484	-9.296696	-0.380873	0.395200	-16.418757	0.954895	-0.693684	-11.151160	3.613232	1.502636	-14.507046	-2.379614	0.413751	-9.239450	0.278723
-0.062695	-11.048588	0.282867	0.282060	-0.496051	0.160714	0.846257	-0.505627	-0.151041	-0.073333	-1.910756	-3.648173	2.813891	-1.169095	-16.580411	0.279759	-2.711250	-11.380430	2.845291	0.043675	-14.610695	-2.983584	-1.498479	-9.410714	-0.418052	0.666129	-16.420313	1.058424	-0.876025	-11.220332	3.623957	1.878899	-14.450597	-2.204918	0.336745	-9.250616	0.360614
-0.039715	-11.083065	0.340400	0.345033	-0.585735	0.289262	0.842263	-0.499398	-0.191852	-0.066233	-1.827111	-3.915827	3.040751	-0.945011	-16.638603	0.508845	-2.918856	-11.402038	2.672712	0.433149	-14.772587	-2.749783	-1.540696	-9.536022	-0.585916	0.813475	-16.351114	1.417183	-1.160371	-11.114548	3.581050	2.191635	-14.485098	-1.841446	0.217790	-9.248533	0.322421
-0.072911	-11.096050	0.369027	0.241773	-0.624665	0.380228	0.822556	-0.512858	-0.238021	-0.061028	-2.293789	-4.287360	3.089341	-0.600584	-16.663435	0.613569	-3.154631	-11.535489	2.397109	1.020372	-14.768335	-2.513905	-1.533675	-9.640389	-0.730365	1.017541	-16.238712	1.709598	-1.536506	-11.110766	3.493138	2.638498	-14.343612	-1.417876	0.084451	-9.215666	0.365664
-0.086808	-11.077608	0.427640	0.193470	-0.529222	0.541769	0.803134	-0.509419	-0.303091	-0.060039	-2.502395	-4.975316	3.217832	-0.351339	-16.745517	0.804378	-3.345970	-11.723741	2.151210	1.485138	-14.845077	-2.198234	-1.509493	-9.823301	-0.851403	1.118495	-16.202326	2.047169	-1.876135	-11.180550	3.394001	2.954973	-14.301886	-0.955443	-0.039658	-9.280111	0.391389
-0.117578	-11.146462	0.494636	0.052653	-0.788179	0.756280	0.780144	-0.508757	-0.359068	-0.060093	-2.748635	-5.495223	3.196510	-0.060290	-16.805320	1.079483	-3.487829	-11.941572	1.851444	1.979662	-14.911777	-1.793336	-1.447877	-10.048028	-1.021375	1.225911	-16.115992	2.447150	-2.201628	-11.252244	3.219111	3.265863	-14.222449	-0.425668	-0.161676	-9.358700	0.346293
-0.136330	-11.220355	0.529590	-0.033237	-1.070193	0.861373	0.749191	-0.510160	-0.418815	-0.055168	-3.036428	-6.064803	3.226824	0.061324	-16.807772	1.530494	-3.598327	-12.054366	1.640412	2.308656	-15.013260	-1.249655	-1.350996	-10.259854	-1.139737	1.179026	-15.980492	2.967974	-2.480625	-11.227086	3.077893	3.426358	-14.185981	0.187826	-0.233293	-9.432575	0.297744
-0.159639	-11.276374	0.605931	-0.125875	-1.278195	1.164942	0.711653	-0.522471	-0.466759	-0.052060	-3.429600	-6.514087	3.018843	0.072935	-16.810970	1.944916	-3.709253	-12.182800	1.420417	2.531546	-15.102372	-0.707616	-1.250642	-10.474203	-1.232115	1.021286	-15.867477	3.431675	-2.760902	-11.239307	2.907176	3.479897	-14.158879	0.779143	-0.302291	-9.530710	0.254644
-0.208485	-11.350775	0.677212	-0.333592	-1.573982	1.436970	0.673407	-0.532551	-0.509998	-0.053053	-3.674331	-6.946590	2.704937	-0.009508	-16.797794	2.370799	-3.798694	-12.335619	1.055101	2.739047	-15.174524	-0.039685	-1.050138	-10.712348	-1.355383	0.708848	-15.735291	3.905417	-3.080338	-11.273115	2.589719	3.457403	-14.112021	1.494932	-0.331782	-9.649845	0.179234
-0.251214	-11.436832	0.727126	-0.517507	-1.910859	1.609470	0.621633	-0.541443	-0.562566	-0.062693	-3.902856	-7.679224	2.261115	-0.157061	-16.741374	2.727273	-3.864642	-12.440386	0.789403	2.796807	-15.188747	0.521822	-0.910774	-10.887759	-1.416048	0.382675	-15.582949	4.265693	-3.324906	-11.281961	2.327823	3.336543	-14.030322	2.060243	-0.371038	-9.729334	0.122372
-0.317544	-11.482344	0.773598	-0.785522	-2.051901	1.758639	0.577721	-0.548792	-0.600264	-0.068915	-3.894659	-8.135388	1.875780	-0.331633	-16.680373	3.082856	-3.859046	-12.611679	0.436521	2.844172	-15.163343	1.182097	-0.683241	-11.094648	-1.464237	-0.021713	-15.421289	4.605570	-3.549126	-11.352595	1.959235	3.154092	-13.904259	2.704811	-0.373321	-9.835565	0.058477
-0.362899	-11.546767	0.814572	-0.959077	-2.262370	1.879980	0.522772	-0.551534	-0.645243	-0.078624	-3.793712	-8.801761	1.525419	-0.414443	-16.612159	3.417672	-3.845292	-12.797540	0.306732	2.853272	-15.078994	1.693886	-0.577577	-11.264374	-1.417054	-0.263943	-15.272183	4.894768	-3.694792	-11.457563	1.783828	3.003773	-13.739017	3.170982	-0.427077	-9.924398	0.060041
-0.423918	-11.596338	0.899449	-1.191757	-2.387673	2.187961	0.484781	-0.550102	-0.675746	-0.075777	-3.534091	-9.019171	1.477671	-0.658313	-16.552069	3.644765	-3.760037	-12.930308	0.003041	2.763978	-15.003694	2.269823	-0.337747	-11.381933	-1.371900	-0.713233	-15.158092	5.077878	-3.814958	-11.536331	1.436154	2.709057	-13.609717	3.702936	-0.392668	-9.987956	0.061212
