x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.429426	-12.149222	1.222171	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.126381	-13.616511	-1.209193	-1.255214	-11.821642	3.744072	-3.027201	-10.248783	-3.066667	-0.156034	-8.453914	1.886599	-2.458450	-14.514649	-1.850562	0.412717	-12.719779	3.102704	-1.359270	-11.146920	-3.708036	1.511898	-9.352051	1.245230
0.102328	-10.418166	0.631624	0.000000	0.000000	0.000000	0.935607	-0.204016	0.213554	-0.193421	0.000000	0.000000	0.000000	-4.834293	-12.969671	-0.047702	-0.685062	-10.461411	3.486773	-3.356545	-10.985285	-3.190707	0.792686	-8.477026	0.343768	-3.592857	-14.491680	-0.424961	0.556374	-11.983420	3.109514	-2.115109	-12.507295	-3.567965	2.034122	-9.999035	-0.033490
0.317018	-10.741694	-0.037043	0.022277	-0.040379	-0.053526	0.822480	-0.365904	0.267535	-0.343608	-0.170627	-0.102953	0.049723	-4.640655	-13.190767	-0.208938	-0.802329	-9.858233	2.978767	-3.007228	-11.830801	-3.597508	0.831099	-8.498267	-0.409803	-3.338347	-14.708544	-0.190317	0.499979	-11.376010	2.997388	-1.704920	-13.348578	-3.578887	2.133407	-10.016043	-0.391181
0.439891	-10.809724	-0.345621	0.082742	-0.098845	-0.113521	0.794108	-0.441554	0.198465	-0.367471	-0.722982	-0.314621	0.346563	-4.544124	-13.397337	-0.209714	-0.950464	-9.533939	2.646817	-2.694827	-12.567780	-3.658182	0.898833	-8.704382	-0.801652	-3.236419	-14.870270	0.137238	0.357241	-11.006872	2.993769	-1.387122	-14.040713	-3.311230	2.206538	-10.177315	-0.454700
0.518873	-10.982321	-0.393453	0.148505	-0.213647	-0.123249	0.764416	-0.492538	0.139148	-0.392061	-1.475355	-0.523056	0.718773	-4.373988	-13.654691	-0.287385	-1.176140	-9.220900	2.185521	-2.210506	-13.346504	-3.637664	0.987342	-8.912713	-1.164757	-3.072609	-14.993339	0.429856	0.125239	-10.559548	2.902762	-0.909126	-14.685152	-2.920423	2.288721	-10.251360	-0.447516
0.623044	-11.102193	-0.407484	0.262451	-0.340302	-0.135170	0.731418	-0.538863	0.059595	-0.413647	-2.559485	-0.934760	1.248445	-4.059812	-14.102807	-0.279484	-1.442226	-9.074620	1.686623	-1.599190	-14.150786	-3.432742	1.018397	-9.122599	-1.466634	-2.746409	-15.193788	0.762021	-0.128823	-10.165601	2.728128	-0.285786	-15.241767	-2.391237	2.331800	-10.213580	-0.425130
0.733897	-11.185887	-0.388718	0.434897	-0.490711	-0.133645	0.702209	-0.579010	-0.030079	-0.413212	-3.821912	-1.408371	2.040439	-3.687447	-14.511622	-0.322652	-1.787877	-9.002637	1.106584	-0.826148	-14.776324	-3.105259	1.073422	-9.267339	-1.676023	-2.441529	-15.292891	1.032821	-0.541958	-9.783906	2.462056	0.419770	-15.557593	-1.749786	2.319341	-10.048608	-0.320550
0.817644	-11.164361	-0.321076	0.600685	-0.496063	-0.099452	0.669886	-0.602273	-0.134777	-0.412742	-5.055402	-2.210918	2.685025	-3.360735	-14.852603	-0.401011	-1.995347	-9.042083	0.210198	-0.066825	-15.394819	-2.604681	1.298562	-9.584299	-1.993472	-2.321313	-15.271114	1.255628	-0.955926	-9.460594	1.866837	0.972597	-15.813330	-0.948042	2.337984	-10.002810	-0.336833
0.913304	-11.215258	-0.352878	0.772495	-0.571033	-0.225651	0.609513	-0.623177	-0.246408	-0.423589	-6.663781	-3.158374	2.910838	-2.893020	-15.158442	-0.275593	-2.108269	-9.215924	-0.541376	0.714306	-15.708103	-1.914213	1.499056	-9.765584	-2.179996	-2.069385	-15.185704	1.546736	-1.284634	-9.243186	1.280953	1.537941	-15.735365	-0.091884	2.322691	-9.792846	-0.357667
1.018764	-11.134245	-0.337148	1.030003	-0.394446	-0.254725	0.554551	-0.631175	-0.351804	-0.412705	-7.980025	-4.057455	3.004504	-2.402119	-15.477607	0.108344	-2.130450	-9.629799	-1.206699	1.426446	-15.898210	-0.971093	1.698114	-10.050402	-2.286137	-1.829998	-15.082484	1.983592	-1.558329	-9.234676	0.668549	1.998567	-15.503087	0.904155	2.270235	-9.655279	-0.410889
