x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.632058	-10.907708	1.003396	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.182409	-12.640357	-1.125277	-0.338368	-11.498364	3.337817	-3.941085	-8.827099	-2.308844	-0.097045	-7.685107	2.154250	-2.651530	-13.109251	-2.323838	1.192511	-11.967258	2.139256	-2.410206	-9.295993	-3.507404	1.433834	-8.154001	0.955689
0.029774	-9.275590	0.435448	0.000000	0.000000	0.000000	0.930404	-0.130649	0.333176	-0.079207	0.000000	0.000000	0.000000	-4.490214	-12.150149	0.770439	0.933276	-10.769725	2.933814	-4.527576	-8.736469	-1.314122	0.895914	-7.356046	0.849252	-3.634993	-13.085546	-0.776697	1.788497	-11.705123	1.386678	-3.672356	-9.671867	-2.861258	1.751134	-8.291444	-0.697884
0.190863	-9.256175	-0.331418	0.006561	-0.005491	-0.061434	0.812619	-0.231246	0.516010	-0.141100	-0.037077	-0.004473	0.001296	-4.696561	-11.629492	0.732118	0.843312	-10.483453	2.731218	-4.415252	-8.554325	-1.810364	1.124620	-7.408286	0.188736	-3.941449	-12.850108	-0.660686	1.598424	-11.704069	1.338415	-3.660140	-9.774941	-3.203168	1.879733	-8.628902	-1.204067
0.235553	-9.379341	-0.721462	-0.010677	-0.029130	-0.144132	0.787119	-0.263025	0.513877	-0.217238	-0.231167	-0.081864	-0.106073	-4.805088	-11.035555	0.818466	0.842258	-10.108515	2.620707	-4.294757	-8.392487	-2.140209	1.352590	-7.465448	-0.337967	-4.179567	-12.504588	-0.385969	1.467779	-11.577549	1.416272	-3.669236	-9.861521	-3.344644	1.978111	-8.934481	-1.542402
0.281970	-9.460186	-0.954333	-0.034098	-0.043625	-0.214738	0.752905	-0.298004	0.510806	-0.288800	-0.650914	-0.125110	-0.294208	-4.780271	-10.554216	0.826338	0.914292	-9.714296	2.519407	-4.114655	-8.403032	-2.479621	1.579908	-7.563113	-0.786553	-4.245368	-12.216960	-0.147910	1.449195	-11.377040	1.545158	-3.579752	-10.065776	-3.453869	2.114812	-9.225857	-1.760801
0.391044	-9.558805	-1.116799	0.000270	-0.085867	-0.278224	0.719963	-0.338085	0.494686	-0.350196	-1.337683	-0.174938	-0.360234	-4.869159	-10.084366	0.822002	0.839129	-9.367709	2.525483	-4.025595	-8.407492	-2.710206	1.682694	-7.690835	-1.006725	-4.420167	-11.884354	0.074707	1.288122	-11.167697	1.778189	-3.576602	-10.207480	-3.457501	2.131686	-9.490823	-1.754019
0.380814	-9.640290	-1.112238	-0.066047	-0.108168	-0.222387	0.689623	-0.366135	0.473379	-0.407771	-2.083223	-0.241272	-0.675933	-4.889981	-9.715232	0.676929	0.805864	-8.914685	2.384698	-3.926300	-8.623993	-3.048728	1.769545	-7.823446	-1.340959	-4.486135	-11.620774	0.223258	1.209710	-10.820227	1.931027	-3.522455	-10.529535	-3.502399	2.173390	-9.728988	-1.794630
0.406796	-9.727288	-1.179385	-0.075154	-0.173942	-0.264516	0.656244	-0.409293	0.436303	-0.459850	-3.125098	-0.393350	-0.673556	-4.873322	-9.160334	0.355618	0.785922	-8.568059	2.258818	-3.651394	-8.690415	-3.424073	2.007850	-8.098140	-1.520873	-4.612241	-11.136648	0.194313	1.047002	-10.544373	2.097513	-3.390313	-10.666729	-3.585379	2.268930	-10.074454	-1.682179
0.483153	-9.848309	-1.174974	-0.021411	-0.238508	-0.224488	0.615300	-0.424756	0.399051	-0.530799	-4.006664	-0.788087	-1.300393	-4.777372	-8.587567	0.169047	0.918459	-8.191969	2.013231	-3.533079	-8.811924	-3.625870	2.162751	-8.416326	-1.781686	-4.686747	-10.580060	0.316559	1.009084	-10.184462	2.160743	-3.442454	-10.804416	-3.478359	2.253377	-10.408818	-1.634175
0.495181	-9.956812	-1.184985	-0.050834	-0.330637	-0.161525	0.553557	-0.454404	0.372270	-0.590344	-5.084981	-0.624564	-1.890604	-4.576669	-8.024184	-0.140907	1.129774	-7.894093	1.708304	-3.355187	-8.894812	-3.849005	2.351256	-8.764722	-1.999793	-4.670635	-9.975752	0.286351	1.035808	-9.845662	2.135562	-3.449153	-10.846381	-3.421747	2.257290	-10.716290	-1.572535
0.549359	-10.047345	-1.216462	0.055894	-0.408165	-0.183360	0.489814	-0.472918	0.346665	-0.645178	-5.943557	-0.593251	-2.511019	-4.323946	-7.504237	-0.701969	1.347118	-7.497934	1.257368	-3.139795	-9.203732	-4.123884	2.531269	-9.197429	-2.164547	-4.599639	-9.314741	0.101815	1.071425	-9.308438	2.061152	-3.415488	-11.014236	-3.320100	2.255576	-11.007933	-1.360763
0.612755	-10.136785	-1.197086	0.206003	-0.477642	-0.102113	0.409444	-0.498259	0.291588	-0.706449	-7.305934	-0.760563	-3.020839	-4.020840	-7.037911	-1.261309	1.589773	-7.293620	0.849528	-2.981967	-9.409897	-4.309984	2.628646	-9.665607	-2.199147	-4.503044	-8.646063	-0.174421	1.107569	-8.901773	1.936415	-3.464171	-11.018050	-3.223097	2.146442	-11.273759	-1.112260
0.606216	-10.220626	-1.148801	0.159464	-0.582935	0.072095	0.326143	-0.506165	0.249288	-0.758474	-8.308180	-0.883199	-3.632326	-3.666546	-6.686946	-1.823806	1.843966	-7.199486	0.493856	-2.828231	-9.579265	-4.456621	2.682281	-10.091805	-2.138959	-4.337616	-8.057870	-0.531431	1.172896	-8.570410	1.786231	-3.499301	-10.950190	-3.164246	2.011211	-11.462730	-0.846584
0.592878	-10.275219	-1.088053	0.110624	-0.643512	0.283683	0.248039	-0.503680	0.211729	-0.799971	-9.060287	-1.001323	-4.078246	-3.202535	-6.561540	-2.524292	2.166122	-7.203040	0.076862	-2.622095	-9.955859	-4.559404	2.746562	-10.597360	-1.958251	-4.047091	-7.597843	-1.036743	1.321566	-8.239343	1.564411	-3.466651	-10.992162	-3.071855	1.902006	-11.633663	-0.470702
0.628447	-10.374333	-0.977494	0.257584	-0.870142	0.660505	0.158922	-0.498666	0.156525	-0.837601	-10.051412	-1.046599	-4.364693	-2.677603	-6.510572	-3.104619	2.486069	-7.352882	-0.167442	-2.421379	-10.205689	-4.614738	2.742293	-11.047999	-1.677561	-3.688036	-7.223100	-1.532573	1.475636	-8.065410	1.404604	-3.431813	-10.918217	-3.042692	1.731859	-11.760527	-0.105515
0.632481	-10.458929	-0.843773	0.298718	-1.089029	1.151812	0.077480	-0.479173	0.117618	-0.866346	-10.685169	-0.958948	-4.634888	-2.278565	-6.711248	-3.711682	2.728696	-7.471879	-0.494730	-2.316921	-10.616696	-4.575401	2.690339	-11.377326	-1.358449	-3.380282	-7.061371	-2.079618	1.626979	-7.822002	1.137334	-3.418639	-10.966818	-2.943337	1.588622	-11.727449	0.273615
0.624564	-10.484336	-0.706358	0.273823	-1.093706	1.635111	-0.000333	-0.466593	0.059875	-0.882443	-11.432339	-0.709384	-4.682152	-1.880052	-7.026986	-4.239577	2.939570	-7.701195	-0.730062	-2.257245	-11.001584	-4.485132	2.562376	-11.675793	-0.975617	-3.056257	-7.015295	-2.622046	1.763365	-7.689504	0.887468	-3.433451	-10.989893	-2.867601	1.386171	-11.664102	0.641913
