x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.058203	-10.604503	2.400952	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.971219	-11.544030	-0.071865	-0.012290	-12.155040	4.395074	-3.059828	-7.659058	-0.348200	0.899101	-8.270068	4.118739	-2.539128	-11.974457	-1.399965	1.419801	-12.585467	3.066974	-1.627738	-8.089485	-1.676300	2.331192	-8.700495	2.790639
0.755589	-9.411379	2.075013	0.000000	0.000000	0.000000	0.926253	0.008840	0.357319	-0.119584	0.000000	0.000000	0.000000	-4.649361	-10.584791	1.712003	0.667768	-11.863757	4.180280	-3.247822	-7.027743	0.535953	2.069307	-8.306709	3.004229	-4.043056	-11.394174	-0.013481	1.274072	-12.673140	2.454796	-2.641517	-7.837126	-1.189531	2.675611	-9.116092	1.278746
0.844334	-9.483384	1.386515	-0.003406	-0.011778	-0.054521	0.806771	-0.025270	0.541858	-0.234248	-0.070856	0.002772	-0.024071	-4.700447	-10.451043	1.753587	0.704172	-11.732899	4.022273	-3.195108	-7.176968	0.017388	2.209511	-8.458824	2.286074	-4.266923	-11.517596	0.118190	1.137696	-12.799452	2.386876	-2.761584	-8.243521	-1.618009	2.643035	-9.525377	0.650677
0.806795	-9.757720	0.924965	-0.036993	-0.092683	-0.143934	0.776486	-0.072575	0.552748	-0.293721	-0.385814	0.059296	0.021008	-4.905289	-10.517582	1.618725	0.515395	-11.588320	3.957465	-3.395533	-7.468564	-0.484635	2.025151	-8.539302	1.854106	-4.498730	-11.761964	0.106698	0.921954	-12.832702	2.445438	-2.988974	-8.712945	-1.996661	2.431710	-9.783683	0.342079
0.595951	-9.969323	0.658765	-0.150923	-0.216499	-0.247528	0.766959	-0.117112	0.539413	-0.327250	-0.864979	0.078392	0.186808	-5.082933	-10.377900	1.457246	0.307364	-11.316052	3.919881	-3.491174	-7.636866	-0.982638	1.899123	-8.575018	1.479997	-4.711168	-11.800535	0.101555	0.679129	-12.738687	2.564190	-3.119409	-9.059502	-2.338330	2.270888	-9.997654	0.124305
0.429391	-10.095798	0.453741	-0.304134	-0.308242	-0.379908	0.754513	-0.156107	0.518879	-0.370276	-1.458890	-0.004308	0.189941	-5.220595	-10.324348	1.338151	0.178435	-11.079787	3.844100	-3.638357	-7.767685	-1.300029	1.760673	-8.523124	1.205920	-4.852771	-11.841734	0.088252	0.546259	-12.597173	2.594202	-3.270534	-9.285070	-2.549928	2.128497	-10.040509	-0.043979
0.286510	-10.114831	0.296234	-0.471408	-0.336158	-0.531975	0.747466	-0.185722	0.505118	-0.389432	-1.876767	-0.072075	0.257530	-5.308931	-10.341500	1.217256	0.087763	-10.872096	3.785167	-3.734504	-7.983580	-1.604338	1.662190	-8.514176	0.963573	-4.929114	-11.947355	0.087227	0.467579	-12.477951	2.655137	-3.354687	-9.589436	-2.734367	2.042007	-10.120032	-0.166457
0.198152	-10.179727	0.172539	-0.612067	-0.432829	-0.693291	0.741719	-0.217072	0.486934	-0.406975	-2.355567	-0.154700	0.451529	-5.437587	-10.166155	0.976479	-0.109718	-10.621703	3.697928	-3.733746	-8.135878	-2.019334	1.594123	-8.591425	0.702114	-5.090874	-11.882673	0.010376	0.236996	-12.338221	2.731825	-3.387033	-9.852396	-2.985437	1.940836	-10.307944	-0.263989
0.087744	-10.277951	0.036908	-0.848627	-0.545475	-0.922011	0.728650	-0.240457	0.460736	-0.446063	-2.934806	-0.436577	0.235349	-5.572414	-10.200302	0.616294	-0.404133	-10.534070	3.645728	-3.705333	-8.285190	-2.357989	1.462948	-8.618958	0.671445	-5.171665	-11.952646	-0.260457	-0.003384	-12.286414	2.768978	-3.304585	-10.037534	-3.234739	1.863696	-10.371302	-0.205305
-0.006001	-10.335037	-0.010612	-1.066979	-0.648510	-1.070618	0.738307	-0.241827	0.428459	-0.461352	-3.024506	-1.068459	0.262443	-5.651072	-10.270787	0.353244	-0.578743	-10.386070	3.556086	-3.714256	-8.472707	-2.649363	1.358072	-8.587990	0.553478	-5.200004	-12.056915	-0.425400	-0.127675	-12.172197	2.777441	-3.263188	-10.258835	-3.428008	1.809140	-10.374117	-0.225166
