x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
0.020117	-11.283979	2.864919	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.500188	-10.897142	-1.805464	-2.795546	-12.680150	3.915869	-0.340968	-7.715740	-0.702537	-0.636326	-9.498748	5.018796	-0.819489	-11.953757	-2.047985	-1.114847	-13.736765	3.673348	1.339731	-8.772354	-0.945058	1.044373	-10.555362	4.776275
0.158233	-10.640807	3.130840	0.000000	0.000000	0.000000	0.947267	0.151198	0.019011	-0.281893	0.000000	0.000000	0.000000	-2.478072	-8.283603	-0.978895	-3.377760	-11.973392	3.666104	0.931730	-7.018644	0.686377	0.032041	-10.708433	5.331377	-1.476385	-9.728333	-1.932510	-2.376074	-13.418121	2.712489	1.933416	-8.463374	-0.267238	1.033728	-12.153163	4.377762
0.155778	-11.185773	3.038597	-0.013410	-0.039232	-0.010375	0.804868	0.320327	0.101526	-0.489153	0.097310	0.104103	0.041075	-2.255444	-7.627343	-0.296654	-3.347806	-12.326185	3.270927	1.264002	-7.066503	1.519649	0.171640	-11.765345	5.087230	-1.377497	-8.839007	-1.623711	-2.469859	-13.537849	1.943870	2.141949	-8.278167	0.192592	1.049587	-12.977009	3.760173
0.223330	-11.639592	2.745966	-0.015835	-0.095949	-0.092690	0.737187	0.419573	0.163279	-0.503839	0.654292	0.092657	0.118721	-2.320921	-7.320195	0.525017	-3.240247	-12.737768	2.934320	1.247100	-7.126207	2.322680	0.327774	-12.543780	4.731983	-1.470393	-8.174285	-1.070956	-2.389718	-13.591858	1.338347	2.097629	-7.980297	0.726707	1.178303	-13.397870	3.136010
0.303497	-11.878452	2.483262	-0.022089	-0.124119	-0.201529	0.684710	0.493765	0.235416	-0.481609	1.685962	0.154218	0.295265	-2.564890	-7.294445	1.278018	-3.279094	-13.140074	2.426292	1.032475	-7.390926	3.024345	0.318271	-13.236555	4.172618	-1.723424	-7.742611	-0.480129	-2.437628	-13.588240	0.668144	1.873941	-7.839092	1.266197	1.159737	-13.684721	2.414471
0.228580	-12.087152	2.130358	-0.132447	-0.176498	-0.431315	0.630078	0.559793	0.301566	-0.445748	3.081987	0.234372	0.556124	-2.668633	-7.464347	2.006882	-3.192493	-13.441434	2.008435	0.977202	-7.783466	3.621208	0.453343	-13.760553	3.622761	-1.864594	-7.535292	0.176995	-2.388453	-13.512379	0.178547	1.781242	-7.854411	1.791321	1.257382	-13.831498	1.792873
0.275878	-12.239710	1.846376	-0.145694	-0.237999	-0.671488	0.575000	0.608593	0.359841	-0.411709	4.444911	0.308144	0.742101	-2.713321	-7.689297	2.734625	-3.148555	-13.585219	1.710576	1.000122	-8.205577	4.128826	0.564888	-14.101499	3.104778	-1.984254	-7.422968	0.891385	-2.419488	-13.318890	-0.132663	1.729188	-7.939248	2.285587	1.293955	-13.835170	1.261539
0.292136	-12.298702	1.629810	-0.181985	-0.227590	-0.890500	0.515943	0.645034	0.411422	-0.385312	5.715997	0.556561	0.745081	-2.645206	-7.999530	3.445938	-3.104917	-13.637970	1.446773	1.152869	-8.682451	4.498672	0.693158	-14.320891	2.499507	-2.036785	-7.407112	1.635175	-2.496496	-13.045552	-0.363990	1.761290	-8.090032	2.687908	1.301578	-13.728472	0.688743
0.314882	-12.296237	1.378042	-0.204230	-0.129323	-1.228103	0.447294	0.672334	0.463210	-0.365146	6.917289	1.020364	0.524481	-2.630751	-8.464098	4.016967	-3.114699	-13.649717	1.037848	1.204838	-9.277077	4.809004	0.720890	-14.462696	1.829884	-2.086654	-7.543817	2.326689	-2.570603	-12.729436	-0.652431	1.748935	-8.356796	3.118725	1.264986	-13.542415	0.139606
0.291052	-12.272835	1.108946	-0.308194	-0.011538	-1.712792	0.378247	0.702106	0.505279	-0.329650	8.077185	1.330912	0.398705	-2.535426	-8.938087	4.435050	-3.125168	-13.594172	0.696993	1.308971	-9.883706	5.006383	0.719228	-14.539791	1.268326	-2.019180	-7.768618	2.896924	-2.608922	-12.424703	-0.841133	1.825217	-8.714236	3.468258	1.235474	-13.370321	-0.269800
0.292749	-12.262263	0.906413	-0.318277	0.049080	-2.144234	0.315717	0.727588	0.531150	-0.298024	8.812859	1.580647	0.178635	-2.423425	-9.349435	4.671797	-3.130167	-13.531970	0.428342	1.440590	-10.331380	4.996098	0.733848	-14.513915	0.752643	-1.963155	-8.002137	3.267184	-2.669897	-12.184672	-0.976272	1.900860	-8.984082	3.591485	1.194118	-13.166617	-0.651971
0.289732	-12.212321	0.678971	-0.353694	0.225505	-2.730363	0.263347	0.738726	0.554892	-0.277538	9.041165	1.927030	0.030612	-2.368054	-9.748295	4.865205	-3.126914	-13.416190	0.177916	1.511260	-10.714961	4.993589	0.752400	-14.382856	0.306300	-1.951225	-8.241125	3.618331	-2.710085	-11.909020	-1.068958	1.928088	-9.207791	3.746716	1.169229	-12.875686	-0.940573
0.284908	-12.093838	0.510871	-0.404235	0.630646	-3.178302	0.215368	0.746876	0.576874	-0.251017	9.238377	2.229904	0.056280	-2.349195	-9.979719	4.854994	-3.144011	-13.332620	-0.056861	1.536682	-10.928197	4.873642	0.741867	-14.281098	-0.038213	-1.955752	-8.390382	3.706425	-2.750568	-11.743283	-1.205430	1.930125	-9.338860	3.725073	1.135309	-12.691761	-1.186782
0.264183	-12.013751	0.323662	-0.505160	0.945028	-3.773846	0.187723	0.750414	0.588388	-0.235455	8.913296	2.234558	0.096385	-2.196201	-10.059595	4.867385	-3.169854	-13.156043	-0.178802	1.662805	-11.107321	4.765704	0.689153	-14.203770	-0.280483	-1.781853	-8.428572	3.786607	-2.755506	-11.525021	-1.259580	2.077153	-9.476298	3.684926	1.103500	-12.572747	-1.361261
0.278575	-11.944459	0.195900	-0.422584	1.232037	-4.184837	0.161409	0.759957	0.585646	-0.231153	8.504621	2.275569	-0.134759	-1.991960	-10.178318	4.872835	-3.212768	-12.956888	-0.302991	1.828493	-11.328879	4.589378	0.607685	-14.107449	-0.586448	-1.561335	-8.501647	3.871168	-2.782143	-11.280217	-1.304658	2.259118	-9.652208	3.587711	1.038310	-12.430778	-1.588116
0.280743	-11.867663	0.027122	-0.388565	1.553083	-4.750494	0.127509	0.769024	0.583028	-0.228960	8.215460	2.440142	-0.376372	-1.932980	-10.227262	4.810895	-3.257396	-12.911169	-0.389352	1.879756	-11.376229	4.432850	0.555340	-14.060136	-0.767397	-1.519623	-8.533274	3.831333	-2.844040	-11.217181	-1.368914	2.293113	-9.682241	3.453288	0.968696	-12.366148	-1.746959
0.243277	-11.831426	-0.107495	-0.545638	1.732835	-5.165587	0.114813	0.768217	0.585830	-0.231223	7.647007	2.397321	-0.441066	-1.780760	-10.392261	4.785406	-3.323945	-12.789376	-0.494027	1.999421	-11.568931	4.214719	0.456236	-13.966046	-1.064715	-1.377081	-8.655770	3.878961	-2.920266	-11.052885	-1.400473	2.403100	-9.832440	3.308273	0.859914	-12.229555	-1.971160
0.199746	-11.770231	-0.282019	-0.714885	1.983673	-5.726197	0.083316	0.770700	0.588196	-0.230447	7.398059	2.587281	-0.547536	-1.494160	-10.470203	4.730474	-3.341189	-12.759709	-0.498928	2.246819	-11.628817	3.916415	0.399790	-13.918323	-1.312987	-1.144571	-8.714647	3.838391	-2.991600	-11.004153	-1.391010	2.596408	-9.873261	3.024332	0.749378	-12.162767	-2.205069
0.188494	-11.739626	-0.471184	-0.708027	2.103974	-6.348328	0.058254	0.764201	0.593110	-0.246623	6.894372	2.990635	-0.731723	-1.359641	-10.514408	4.665811	-3.350870	-12.736360	-0.539757	2.358297	-11.655773	3.730810	0.367068	-13.877724	-1.474758	-1.037647	-8.746427	3.787995	-3.028876	-10.968378	-1.417573	2.680291	-9.887791	2.852994	0.689061	-12.109742	-2.352574
0.176886	-11.710909	-0.597978	-0.730836	2.221107	-6.659729	0.044892	0.760581	0.596082	-0.253352	6.438497	3.040806	-0.793183	-1.302717	-10.455420	4.549404	-3.405289	-12.670565	-0.615121	2.385997	-11.641846	3.556538	0.283425	-13.856991	-1.607987	-0.975385	-8.693917	3.660606	-3.077958	-10.909063	-1.503920	2.713329	-9.880343	2.667739	0.610756	-12.095489	-2.496786
0.132388	-11.685471	-0.735238	-0.911740	2.349488	-7.010493	0.039703	0.761746	0.591710	-0.260857	5.965308	2.870391	-0.909450	-1.109972	-10.589037	4.506525	-3.431928	-12.593772	-0.649981	2.513790	-11.834676	3.359036	0.191834	-13.839411	-1.797471	-0.766411	-8.809839	3.660108	-3.088366	-10.814574	-1.496398	2.857351	-10.055478	2.512619	0.535396	-12.060214	-2.643888
0.124054	-11.692419	-0.856285	-0.894602	2.252117	-7.270473	0.015436	0.765279	0.586564	-0.264675	5.775394	2.947371	-0.988919	-0.971190	-10.660697	4.413758	-3.453514	-12.512188	-0.725313	2.592005	-11.986308	3.170216	0.109681	-13.837800	-1.968854	-0.595356	-8.877498	3.589772	-3.077680	-10.728989	-1.549298	2.967839	-10.203110	2.346231	0.485515	-12.054601	-2.792839
0.121338	-11.706125	-0.991190	-0.862328	2.150603	-7.581974	-0.000747	0.770687	0.578185	-0.267850	5.552325	2.856558	-1.080223	-0.727678	-10.650733	4.311958	-3.487411	-12.370858	-0.730367	2.741782	-12.041271	2.887440	-0.017951	-13.761396	-2.154885	-0.347578	-8.865280	3.494840	-3.107311	-10.585405	-1.547485	3.121881	-10.255818	2.070322	0.362149	-11.975943	-2.972003
0.089692	-11.644641	-1.151013	-0.952398	2.404597	-7.985841	-0.022515	0.771050	0.570680	-0.281601	5.272189	3.003162	-1.200531	-0.563154	-10.608078	4.181392	-3.524748	-12.263593	-0.767167	2.819801	-12.101337	2.656337	-0.141793	-13.756852	-2.292222	-0.157760	-8.836632	3.346145	-3.119354	-10.492148	-1.602413	3.225195	-10.329891	1.821090	0.263601	-11.985407	-3.127468
