x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
-0.429426	-12.149222	1.222171	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.126381	-13.616511	-1.209193	-1.255214	-11.821642	3.744072	-3.027201	-10.248783	-3.066667	-0.156034	-8.453914	1.886599	-2.458450	-14.514649	-1.850562	0.412717	-12.719779	3.102704	-1.359270	-11.146920	-3.708036	1.511898	-9.352051	1.245230
0.102328	-10.418166	0.631624	0.000000	0.000000	0.000000	0.935607	-0.204016	0.213554	-0.193421	0.000000	0.000000	0.000000	-4.835598	-12.966771	-0.045699	-0.681633	-10.466341	3.488764	-3.360030	-10.977911	-3.186899	0.793935	-8.477482	0.347564	-3.595273	-14.488752	-0.426707	0.558692	-11.988323	3.107756	-2.119705	-12.499892	-3.567908	2.034260	-9.999463	-0.033444
0.317018	-10.741694	-0.037043	0.022277	-0.040379	-0.053526	0.822480	-0.365904	0.267535	-0.343608	-0.170627	-0.102953	0.049723	-4.649263	-13.173162	-0.208774	-0.789397	-9.876834	2.990547	-3.021777	-11.794568	-3.592672	0.838089	-8.498240	-0.393351	-3.352180	-14.695516	-0.205145	0.507686	-11.399188	2.994176	-1.724693	-13.316922	-3.589044	2.135173	-10.020594	-0.389723
0.439891	-10.809724	-0.345621	0.082742	-0.098845	-0.113521	0.794108	-0.441554	0.198465	-0.367471	-0.722982	-0.314621	0.346563	-4.562014	-13.361120	-0.216661	-0.925402	-9.565916	2.676688	-2.724846	-12.494514	-3.662500	0.911767	-8.699310	-0.769151	-3.263259	-14.848350	0.101749	0.373353	-11.053145	2.995098	-1.426091	-13.981744	-3.344090	2.210522	-10.186539	-0.450741
0.518873	-10.982321	-0.393453	0.148505	-0.213647	-0.123249	0.764416	-0.492538	0.139148	-0.392061	-1.475355	-0.523056	0.718773	-4.407547	-13.590512	-0.301848	-1.130119	-9.261219	2.250736	-2.271819	-13.224901	-3.664139	1.005609	-8.895609	-1.111554	-3.116748	-14.963120	0.368812	0.160680	-10.633827	2.921397	-0.981020	-14.597509	-2.993478	2.296408	-10.268216	-0.440893
0.623044	-11.102193	-0.407484	0.262451	-0.340302	-0.135170	0.731418	-0.538863	0.059595	-0.413647	-2.559485	-0.934760	1.248445	-4.122983	-14.000175	-0.316103	-1.371929	-9.104782	1.797383	-1.708440	-13.980295	-3.505082	1.042615	-9.084901	-1.391595	-2.818540	-15.156522	0.664351	-0.067485	-10.261128	2.777837	-0.403996	-15.136641	-2.524628	2.347058	-10.241248	-0.411141
0.733897	-11.185887	-0.388718	0.434897	-0.490711	-0.133645	0.702209	-0.579010	-0.030079	-0.413212	-3.821912	-1.408371	2.040439	-3.786101	-14.377651	-0.380678	-1.699219	-9.000533	1.272054	-0.995181	-14.582334	-3.238802	1.091701	-9.205216	-1.586070	-2.533585	-15.259085	0.905510	-0.446703	-9.881967	2.558242	0.257334	-15.463769	-1.952614	2.344216	-10.086650	-0.299882
0.817644	-11.164361	-0.321076	0.600685	-0.496063	-0.099452	0.669886	-0.602273	-0.134777	-0.412742	-5.055402	-2.210918	2.685025	-3.484009	-14.704093	-0.490879	-1.911959	-8.990081	0.446525	-0.279365	-15.201626	-2.832399	1.292685	-9.487614	-1.894995	-2.407919	-15.261179	1.100248	-0.835869	-9.547167	2.037652	0.796725	-15.758712	-1.241272	2.368775	-10.044700	-0.303869
0.913304	-11.215258	-0.352878	0.772495	-0.571033	-0.225651	0.609513	-0.623177	-0.246408	-0.423589	-6.663781	-3.158374	2.910838	-3.038302	-15.018291	-0.419608	-2.054096	-9.101715	-0.259988	0.480426	-15.554381	-2.244756	1.464631	-9.637806	-2.085135	-2.145547	-15.214789	1.359262	-1.161342	-9.298214	1.518882	1.373180	-15.750879	-0.465886	2.357385	-9.834304	-0.306265
1.018764	-11.134245	-0.337148	1.030003	-0.394446	-0.254725	0.554551	-0.631175	-0.351804	-0.412705	-7.980025	-4.057455	3.004504	-2.554070	-15.373075	-0.112405	-2.124613	-9.441416	-0.906755	1.202027	-15.819249	-1.413429	1.631484	-9.887590	-2.207779	-1.881433	-15.170998	1.760220	-1.451975	-9.239339	0.965870	1.874664	-15.617172	0.459196	2.304122	-9.685513	-0.335154
1.102147	-11.110861	-0.281081	1.257319	-0.345743	-0.161363	0.490341	-0.634505	-0.454962	-0.387271	-9.303813	-4.941216	2.995701	-2.040712	-15.679194	0.220943	-2.050808	-9.947008	-1.551607	1.896597	-15.881251	-0.454906	1.886501	-10.149064	-2.227455	-1.688025	-15.097036	2.101556	-1.698121	-9.364849	0.329006	2.249284	-15.299092	1.425707	2.239188	-9.566906	-0.346843
