x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
2.507384	-12.109399	0.542822	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.291625	-14.151441	-3.796951	-1.438445	-12.495192	1.282769	3.016364	-10.550850	-4.043976	0.286293	-8.894601	1.035744	2.849886	-14.825340	-2.739746	0.119816	-13.169091	2.339974	4.574624	-11.224749	-2.986771	1.844554	-9.568500	2.092949
1.706322	-10.714235	0.620474	0.000000	0.000000	0.000000	0.938869	-0.089948	-0.261915	-0.204537	0.000000	0.000000	0.000000	1.283879	-14.140248	-3.855478	-1.970991	-10.326842	-0.559457	4.548973	-11.926914	-3.191917	1.294103	-8.113507	0.104104	1.680943	-15.217050	-2.217541	-1.573926	-11.403644	1.078480	4.946037	-13.003716	-1.553980	1.691167	-9.190309	1.742041
1.589052	-10.427450	0.342416	-0.029360	0.034434	-0.024485	0.758400	-0.154661	-0.448353	-0.447090	0.113909	0.020898	-0.101521	1.438444	-13.956173	-3.982464	-1.692435	-9.598697	-1.297320	4.831503	-12.411376	-2.533066	1.700624	-8.053901	0.152078	1.257801	-15.093568	-2.347319	-1.873078	-10.736092	0.337826	4.650860	-13.548772	-0.897921	1.519981	-9.191296	1.787224
1.498960	-10.381714	0.344379	-0.063679	0.080091	-0.042263	0.659188	-0.136764	-0.506820	-0.538423	0.341290	-0.216354	-0.258951	1.598687	-13.758698	-4.192390	-1.471950	-9.266766	-1.663806	4.884122	-12.628566	-2.210292	1.813486	-8.136634	0.318292	1.094869	-14.958182	-2.673374	-1.975768	-10.466249	-0.144791	4.380304	-13.828049	-0.691277	1.309668	-9.336117	1.837307
1.380610	-10.440652	0.328997	-0.131261	0.110994	-0.088578	0.600123	-0.102215	-0.526850	-0.593155	0.737439	-0.582197	-0.417146	1.690207	-13.381348	-4.401976	-1.233386	-8.895294	-1.694962	4.876834	-12.705337	-2.080680	1.953241	-8.219283	0.626334	0.974916	-14.665745	-3.045996	-1.948677	-10.179692	-0.338982	4.161544	-13.989735	-0.724700	1.237951	-9.503681	1.982314
1.348986	-10.471378	0.385291	-0.202913	0.171990	-0.095073	0.557838	-0.069971	-0.516228	-0.646088	1.348526	-0.821882	-0.720498	1.691244	-12.815270	-4.760937	-1.183156	-8.536912	-1.689542	4.806602	-12.509954	-2.270690	1.932202	-8.231596	0.800705	0.881542	-14.209142	-3.577086	-1.992858	-9.930784	-0.505690	3.996900	-13.903826	-1.086839	1.122500	-9.625468	1.984557
1.261165	-10.419675	0.295572	-0.352057	0.324386	-0.261153	0.539098	-0.034212	-0.486323	-0.686799	2.407877	-0.918339	-0.867245	1.732387	-12.167867	-4.953237	-1.115138	-8.205441	-1.461707	4.768454	-12.278762	-2.351315	1.920929	-8.316336	1.140215	0.840960	-13.668663	-3.977036	-2.006565	-9.706238	-0.485506	3.877027	-13.779558	-1.375114	1.029503	-9.817133	2.116417
1.200352	-10.400084	0.346412	-0.487190	0.473261	-0.259106	0.520568	0.005507	-0.446976	-0.727455	3.505914	-0.978278	-0.970931	1.746889	-11.516899	-5.101375	-1.020860	-7.853718	-1.238647	4.695786	-12.076816	-2.457419	1.928037	-8.413634	1.405309	0.759548	-13.075949	-4.330322	-2.008201	-9.412767	-0.467594	3.708444	-13.635865	-1.686366	0.940695	-9.972684	2.176362
1.135915	-10.352150	0.353885	-0.632879	0.658770	-0.304252	0.494968	0.037521	-0.406824	-0.766873	4.498412	-1.073155	-1.162701	1.613516	-10.901460	-5.196890	-0.882534	-7.537648	-0.901019	4.539075	-11.947809	-2.677712	2.043025	-8.583998	1.618159	0.532764	-12.472778	-4.594450	-1.963286	-9.108966	-0.298579	3.458323	-13.519127	-2.075271	0.962273	-10.155316	2.220599
1.117857	-10.334199	0.362979	-0.722732	0.765324	-0.324760	0.468864	0.048460	-0.355982	-0.806904	5.287681	-0.820135	-1.552679	1.566944	-10.378698	-5.227143	-0.822562	-7.349045	-0.632421	4.408417	-11.812278	-2.804153	2.018911	-8.782625	1.790569	0.406301	-11.949158	-4.795216	-1.983205	-8.919505	-0.200494	3.247773	-13.382738	-2.372225	0.858267	-10.353086	2.222496
1.025932	-10.351855	0.356279	-0.950412	0.763347	-0.380764	0.444209	0.068672	-0.315672	-0.835652	5.834945	-0.882106	-1.659119	1.522265	-9.812690	-5.225988	-0.768712	-7.174225	-0.348497	4.305872	-11.580794	-2.962066	2.014895	-8.942329	1.915425	0.305833	-11.376324	-4.951508	-1.985145	-8.737859	-0.074017	3.089439	-13.144428	-2.687586	0.798462	-10.505963	2.189905
0.968462	-10.323935	0.331199	-1.095041	0.870948	-0.473276	0.425452	0.086668	-0.272523	-0.858609	6.313901	-0.945642	-1.627638	1.482307	-9.172308	-5.139030	-0.707833	-7.019642	0.015514	4.169704	-11.321442	-3.099637	1.979564	-9.168776	2.054906	0.193313	-10.698880	-5.049183	-1.996827	-8.546214	0.105361	2.880709	-12.848013	-3.009790	0.690570	-10.695348	2.144754
0.874968	-10.304830	0.318449	-1.353563	0.975718	-0.535908	0.399085	0.107460	-0.221359	-0.883280	6.874390	-1.090070	-1.655152	1.302325	-8.672827	-5.044448	-0.687196	-6.955543	0.349321	3.994834	-11.056288	-3.292448	2.005314	-9.339005	2.101321	-0.019719	-10.173528	-5.054293	-2.009239	-8.456245	0.339476	2.672791	-12.556990	-3.302293	0.683270	-10.839706	2.091476
0.822859	-10.287718	0.301518	-1.517508	1.026832	-0.597709	0.388671	0.109982	-0.174111	-0.898067	7.089743	-0.868937	-1.580811	1.225362	-8.180710	-4.900769	-0.587893	-6.901350	0.673758	3.863198	-10.808790	-3.439599	2.049943	-9.529430	2.134927	-0.151277	-9.626890	-5.016655	-1.964532	-8.347530	0.557871	2.486559	-12.254970	-3.555486	0.673304	-10.975610	2.019041
0.795604	-10.265877	0.282406	-1.571446	1.100774	-0.668290	0.369736	0.114837	-0.128719	-0.912984	7.263682	-0.872541	-1.602286	1.154656	-7.789292	-4.742697	-0.496484	-6.908427	0.957989	3.715349	-10.626585	-3.562604	2.064209	-9.745720	2.138081	-0.279846	-9.168142	-4.945125	-1.930985	-8.287277	0.755560	2.280847	-12.005436	-3.765033	0.629708	-11.124570	1.935653
