x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
2.100283	-11.395406	0.626995	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.823857	-11.750885	-4.289075	1.734143	-13.635634	1.406508	-0.962172	-9.013203	-3.427022	-1.051887	-10.897952	2.268562	3.258645	-10.434991	-3.831027	3.168931	-12.319740	1.864557	0.472616	-7.697309	-2.968974	0.382901	-9.582058	2.726610
0.743140	-10.124265	0.972689	0.000000	0.000000	0.000000	0.915298	0.144663	-0.066639	0.369949	0.000000	0.000000	0.000000	2.925412	-10.099279	-4.015703	2.515809	-12.927212	1.260188	-0.919580	-9.031131	-3.741677	-1.329184	-11.859064	1.534213	3.459609	-8.418153	-3.073127	3.050005	-11.246086	2.202763	-0.385384	-7.350004	-2.799102	-0.794987	-10.177937	2.476788
0.134850	-10.158440	0.853555	-0.026267	-0.016701	-0.011076	0.776679	0.173150	-0.174053	0.580081	-0.050765	-0.145164	0.002238	3.133780	-9.435726	-3.936521	2.829211	-12.436699	1.250135	-0.850956	-9.088174	-3.969419	-1.155525	-12.089147	1.217237	3.275773	-7.712603	-2.931193	2.971204	-10.713576	2.255463	-0.708964	-7.365051	-2.964091	-1.013533	-10.366023	2.222565
0.023076	-10.133607	0.682307	-0.021973	-0.015737	-0.048600	0.710448	0.171910	-0.195310	0.653884	-0.061572	-0.290267	0.112700	3.117823	-9.412628	-4.048657	2.784044	-12.346359	1.174543	-0.875435	-9.361432	-4.275084	-1.209214	-12.295163	0.948116	3.084751	-7.668198	-3.070971	2.750972	-10.601929	2.152229	-0.908507	-7.617002	-3.297398	-1.242286	-10.550733	1.925802
-0.153000	-10.267166	0.430575	-0.074082	-0.095969	-0.161224	0.682253	0.156227	-0.199605	0.685771	-0.243954	-0.397948	0.203824	3.098542	-9.193798	-4.092985	2.988268	-12.136210	1.134831	-0.871422	-9.579611	-4.393876	-0.981696	-12.522022	0.833940	2.856683	-7.461514	-3.123091	2.746410	-10.403925	2.104724	-1.113280	-7.847326	-3.423982	-1.223554	-10.789737	1.803833
-0.143474	-10.392400	0.327274	-0.044379	-0.164715	-0.235528	0.640888	0.159451	-0.195436	0.725013	-0.313793	-0.415485	0.548223	2.727488	-8.919881	-4.255434	3.119037	-11.816282	0.984561	-1.181222	-9.752744	-4.423727	-0.789673	-12.649145	0.816268	2.323185	-7.218570	-3.284825	2.714733	-10.114971	1.955170	-1.585526	-8.051433	-3.453119	-1.193977	-10.947834	1.786877
-0.215065	-10.442377	0.273200	-0.145386	-0.153151	-0.309950	0.600834	0.183181	-0.170724	0.759142	-0.304868	0.238576	1.164740	2.537390	-8.780165	-4.374025	3.190028	-11.647832	0.855750	-1.294502	-9.918289	-4.519906	-0.641864	-12.785957	0.709869	2.006517	-7.118105	-3.396411	2.659155	-9.985772	1.833364	-1.825374	-8.256229	-3.542292	-1.172736	-11.123896	1.687483
-0.246994	-10.540421	0.167405	-0.178894	-0.245782	-0.470077	0.569339	0.194090	-0.161238	0.782422	-0.336867	0.436583	1.575725	2.255843	-8.673818	-4.578441	3.313793	-11.419646	0.650437	-1.480170	-10.102864	-4.572972	-0.422220	-12.848693	0.655906	1.634402	-7.045406	-3.597582	2.692352	-9.791234	1.631296	-2.101611	-8.474452	-3.592113	-1.043662	-11.220281	1.636765
-0.220333	-10.586465	0.076354	-0.154750	-0.279978	-0.660991	0.541220	0.213252	-0.136725	0.801817	-0.444128	0.922117	2.101278	1.891999	-8.538200	-4.704994	3.333363	-11.090234	0.530424	-1.659911	-10.375916	-4.622922	-0.218548	-12.927950	0.612496	1.107686	-6.978698	-3.728876	2.549050	-9.530732	1.506541	-2.444224	-8.816413	-3.646804	-1.002861	-11.368447	1.588613
-0.281932	-10.664701	0.007152	-0.278657	-0.381572	-0.805929	0.494760	0.225693	-0.113796	0.831460	-0.680963	1.176140	2.871380	1.611007	-8.589119	-4.906673	3.391704	-10.795162	0.381284	-1.763118	-10.723324	-4.660804	0.017580	-12.929367	0.627153	0.715741	-7.065782	-3.969687	2.496439	-9.271825	1.318270	-2.658383	-9.199987	-3.723818	-0.877686	-11.406030	1.564139
-0.257728	-10.706456	-0.063579	-0.221482	-0.465326	-1.001511	0.461835	0.231030	-0.078521	0.852741	-1.175011	1.383019	3.394417	1.271978	-8.622214	-5.107725	3.321537	-10.396933	0.244814	-1.832922	-11.118009	-4.746338	0.216638	-12.892729	0.606201	0.212188	-7.175565	-4.222258	2.261747	-8.950285	1.130282	-2.892712	-9.671361	-3.860871	-0.843153	-11.446081	1.491669
-0.318119	-10.745499	-0.171250	-0.374847	-0.538468	-1.307005	0.413882	0.228651	-0.043893	0.880053	-1.725242	1.379844	4.094512	0.923714	-8.762135	-5.332356	3.222079	-9.951921	0.080769	-1.827853	-11.614469	-4.790998	0.470513	-12.804256	0.622127	-0.309282	-7.417234	-4.513232	1.989084	-8.607020	0.899893	-3.060848	-10.269568	-3.971875	-0.762483	-11.459355	1.441250
-0.345378	-10.791524	-0.268270	-0.444454	-0.647446	-1.611848	0.359007	0.222710	0.000977	0.906373	-2.407573	1.276182	4.856483	0.569277	-8.837204	-5.520305	3.083577	-9.640649	-0.132099	-1.879073	-11.925989	-4.838405	0.635226	-12.729434	0.549802	-0.771985	-7.594978	-4.709202	1.742315	-8.398422	0.679005	-3.220335	-10.683762	-4.027302	-0.706036	-11.487207	1.360905
-0.393117	-10.832101	-0.379100	-0.590982	-0.739483	-1.970265	0.315835	0.227087	0.029987	0.920750	-2.642387	1.196382	5.276159	0.173152	-9.058063	-5.735965	2.943289	-9.334881	-0.420919	-1.936950	-12.326618	-4.806438	0.833188	-12.603436	0.508608	-1.253116	-7.908880	-4.932760	1.517022	-8.185697	0.382286	-3.363217	-11.177435	-4.003233	-0.593080	-11.454252	1.311813
-0.407891	-10.863445	-0.473086	-0.636934	-0.824016	-2.295427	0.274759	0.234201	0.072666	0.929719	-2.998189	1.228393	5.677821	-0.182227	-9.274877	-5.904739	2.764004	-8.956577	-0.687612	-1.856552	-12.718873	-4.749088	1.089679	-12.400573	0.468038	-1.710194	-8.263213	-5.103583	1.236037	-7.944912	0.113543	-3.384519	-11.707209	-3.947932	-0.438288	-11.388908	1.269194
-0.379405	-10.868346	-0.549728	-0.513266	-0.794590	-2.543906	0.221139	0.237437	0.115502	0.938819	-3.270645	1.029021	6.244366	-0.499917	-9.615175	-6.057471	2.562154	-8.732690	-0.973678	-1.808079	-13.127355	-4.659866	1.253991	-12.244871	0.423926	-2.090631	-8.704342	-5.257461	0.971440	-7.821858	-0.173669	-3.398793	-12.216523	-3.859857	-0.336722	-11.334039	1.223935
-0.382662	-10.913854	-0.624201	-0.514093	-0.953154	-2.778487	0.181263	0.239967	0.157709	0.940578	-3.513484	0.905559	6.507479	-0.682567	-9.927573	-6.194103	2.264278	-8.454243	-1.179584	-1.587048	-13.490033	-4.615877	1.359798	-12.016702	0.398642	-2.365006	-9.162046	-5.430318	0.581839	-7.688716	-0.415799	-3.269487	-12.724506	-3.852092	-0.322641	-11.251175	1.162427
-0.419099	-10.930102	-0.707053	-0.647604	-0.982737	-3.034783	0.132423	0.225518	0.195360	0.945220	-3.696169	0.421216	6.835507	-0.771206	-10.174421	-6.310300	1.978974	-8.227716	-1.345741	-1.296451	-13.758602	-4.613903	1.453729	-11.811897	0.350656	-2.529228	-9.568337	-5.574079	0.220952	-7.621632	-0.609520	-3.054473	-13.152518	-3.877682	-0.304294	-11.205813	1.086877
-0.427549	-10.958465	-0.795449	-0.652774	-1.049962	-3.303222	0.084575	0.209255	0.222529	0.948441	-3.655542	-0.132587	7.072196	-0.882778	-10.426018	-6.439556	1.674549	-8.029133	-1.569749	-1.011086	-13.985910	-4.620023	1.546241	-11.589026	0.249784	-2.690878	-9.986186	-5.706534	-0.133551	-7.589302	-0.836727	-2.819186	-13.546079	-3.887000	-0.261859	-11.149194	0.982807
-0.423152	-10.979182	-0.909612	-0.606327	-1.078151	-3.682802	0.035542	0.197876	0.249576	0.947256	-3.511438	-0.569902	7.317784	-0.840786	-10.668480	-6.546205	1.316080	-7.814098	-1.729522	-0.565028	-14.154383	-4.603929	1.591837	-11.300002	0.212754	-2.701993	-10.430064	-5.854060	-0.545127	-7.575682	-1.037377	-2.426236	-13.915967	-3.911784	-0.269370	-11.061586	0.904899
