x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
2.156128	-11.461900	1.659801	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.830839	-12.033730	-2.675754	-0.637641	-13.847105	1.871918	1.787482	-8.239392	-1.958531	-1.680998	-10.052767	2.589141	4.377172	-11.845632	-1.421372	0.908692	-13.659007	3.126300	3.333815	-8.051294	-0.704149	-0.134665	-9.864669	3.843523
0.606711	-10.406934	2.213703	0.000000	0.000000	0.000000	0.932697	0.129071	-0.323061	0.095124	0.000000	0.000000	0.000000	4.887849	-10.854187	-0.915463	-0.066757	-13.890281	0.579198	2.822101	-7.430549	-0.808738	-2.132505	-10.466644	0.685923	5.341283	-10.640952	1.020752	0.386677	-13.677047	2.515414	3.275535	-7.217315	1.127477	-1.679071	-10.253409	2.622138
-0.037727	-10.403757	1.737350	-0.038617	-0.015360	-0.038791	0.763441	0.174011	-0.587515	0.204218	-0.084839	-0.054261	-0.020601	4.981824	-10.559571	-0.262203	0.123152	-13.945479	0.701609	2.640121	-7.378034	-0.890102	-2.218551	-10.763942	0.073710	5.060190	-10.117261	1.686700	0.201518	-13.503169	2.650511	2.718487	-6.935725	1.058801	-2.140185	-10.321633	2.022612
-0.360257	-10.381590	1.450542	-0.057452	-0.047286	-0.086630	0.705555	0.142720	-0.632067	0.286905	-0.337561	-0.283927	0.037489	4.922046	-10.303460	0.354681	0.151347	-13.926278	0.694722	2.546313	-7.277875	-0.741550	-2.224386	-10.900692	-0.401509	4.676827	-9.800324	2.274765	-0.093871	-13.423141	2.614806	2.301094	-6.774738	1.178533	-2.469605	-10.397556	1.518574
-0.622710	-10.374708	1.226114	-0.101789	-0.067656	-0.148693	0.647807	0.124465	-0.676479	0.327461	-0.462362	-0.717143	0.097267	4.904179	-10.196607	1.118501	0.199995	-13.913854	0.888859	2.665271	-7.267417	-0.432995	-2.038912	-10.984664	-0.662637	4.367515	-9.631242	2.960336	-0.336668	-13.348489	2.730694	2.128607	-6.702052	1.408839	-2.575576	-10.419299	1.179197
-0.706282	-10.364637	1.162960	-0.064456	-0.101117	-0.106366	0.591595	0.092193	-0.717388	0.356189	-0.720274	-1.592847	0.050426	4.846825	-10.090264	1.570550	0.240497	-13.900367	1.055911	2.726894	-7.272286	-0.317542	-1.879434	-11.082389	-0.832182	4.126486	-9.456417	3.325358	-0.479842	-13.266520	2.810718	2.006555	-6.638439	1.437265	-2.599773	-10.448542	0.922626
-0.738400	-10.360219	1.083445	-0.027610	-0.124671	-0.116136	0.552913	0.066123	-0.737500	0.382111	-0.980967	-2.212448	0.133332	4.667565	-9.836144	2.194754	0.291629	-13.834235	1.263919	2.746540	-7.195680	-0.115573	-1.629396	-11.193771	-1.046409	3.693003	-9.142670	3.797665	-0.682932	-13.140761	2.866830	1.771978	-6.502206	1.487338	-2.603957	-10.500297	0.556502
-0.786024	-10.335321	0.964557	0.005248	-0.106219	-0.150832	0.491453	0.035838	-0.764069	0.416399	-1.287004	-3.220961	0.483433	4.443605	-9.626378	2.758925	0.342116	-13.819038	1.494256	2.749830	-7.166749	0.097844	-1.351660	-11.359409	-1.166825	3.254636	-8.895351	4.191389	-0.846853	-13.088011	2.926720	1.560861	-6.435722	1.530308	-2.540628	-10.628382	0.265639
-0.793927	-10.379785	0.887307	0.064289	-0.190380	-0.165369	0.432084	0.008977	-0.783417	0.446632	-1.657008	-4.119018	0.851496	4.114998	-9.465016	3.370012	0.273293	-13.765502	1.712568	2.756157	-7.117954	0.429798	-1.085548	-11.418441	-1.227646	2.737125	-8.711413	4.608378	-1.104580	-13.011899	2.950934	1.378284	-6.364352	1.668164	-2.463420	-10.664838	0.010720
-0.818291	-10.366665	0.849411	0.052468	-0.178264	-0.113196	0.371444	-0.022841	-0.804429	0.463035	-1.910758	-5.035789	1.059984	3.617245	-9.190847	4.022503	0.163908	-13.664270	2.006827	2.687476	-7.018761	0.794876	-0.765862	-11.492185	-1.220799	2.049182	-8.418182	4.994186	-1.404155	-12.891605	2.978510	1.119412	-6.246097	1.766559	-2.333925	-10.719520	-0.249117
-0.846091	-10.338472	0.818486	0.004132	-0.111985	-0.030243	0.296394	-0.059850	-0.820413	0.485274	-2.429680	-6.035402	1.433545	3.087427	-8.819353	4.498651	0.104324	-13.520605	2.262735	2.546256	-6.842326	1.063757	-0.436847	-11.543578	-1.172159	1.373363	-8.066300	5.202139	-1.609740	-12.767553	2.966223	0.832192	-6.089273	1.767245	-2.150911	-10.790526	-0.468671
-0.841119	-10.297468	0.772697	0.020778	0.026450	-0.046270	0.223409	-0.085940	-0.827110	0.508519	-3.057657	-6.687044	1.888635	2.451334	-8.536977	4.951179	0.013555	-13.425075	2.468491	2.352145	-6.686950	1.406103	-0.085634	-11.575048	-1.076584	0.624524	-7.837323	5.367412	-1.813255	-12.725421	2.884725	0.525335	-5.987296	1.822337	-1.912443	-10.875393	-0.660351
-0.820795	-10.290298	0.742223	0.070384	0.049111	-0.030891	0.145498	-0.110244	-0.834105	0.520524	-3.580631	-7.363148	2.145125	1.794553	-8.232976	5.276791	-0.048181	-13.329921	2.702790	2.071952	-6.514533	1.675401	0.229218	-11.611479	-0.898599	-0.103727	-7.620440	5.422853	-1.946461	-12.717385	2.848852	0.173672	-5.901998	1.821463	-1.669062	-10.998943	-0.752537
-0.802173	-10.307406	0.755720	0.098561	0.004546	0.092499	0.071594	-0.124645	-0.833019	0.534244	-4.174964	-7.830415	2.328455	1.265108	-7.993471	5.460968	-0.200798	-13.238544	2.942967	1.887757	-6.426218	1.833844	0.421851	-11.671292	-0.684157	-0.649132	-7.419734	5.380269	-2.115038	-12.664807	2.862268	-0.026483	-5.852481	1.753145	-1.492389	-11.097554	-0.764856
-0.802274	-10.322067	0.794291	0.074078	-0.053332	0.269111	0.018724	-0.146092	-0.823473	0.547904	-4.744728	-7.938159	2.111576	0.598506	-7.571311	5.504391	-0.299233	-13.034215	3.191223	1.578859	-6.196928	1.878100	0.681121	-11.659832	-0.435068	-1.317265	-7.111045	5.160912	-2.215004	-12.573949	2.847744	-0.336912	-5.736663	1.534622	-1.234650	-11.199567	-0.778546
-0.775044	-10.291475	0.795140	0.131744	0.102828	0.295189	-0.050834	-0.158134	-0.805912	0.568256	-5.502274	-8.235081	1.978754	0.019647	-7.185093	5.388034	-0.518496	-12.825868	3.415202	1.427450	-6.069419	1.814050	0.889307	-11.710194	-0.158781	-1.843776	-6.793371	4.776308	-2.381919	-12.434145	2.803477	-0.435972	-5.677696	1.202324	-0.974115	-11.318471	-0.770507
